Title,Link,Date,Sentiment
"All patients discharged, no active HMPV cases in Gujarat",https://indianexpress.com/article/cities/ahmedabad/all-patients-discharged-no-active-hmpv-cases-in-gujarat-9790146/,"January 21, 2025 7:16 am",Positive 😊
HMPV virus – its not the pandemic,https://indianexpress.com/article/opinion/columns/hmpv-virus-its-not-the-pandemic-9789883/,"January 21, 2025 7:11 am",Neutral 😐
"Another child tests positive for HMPV in Puducherry, undergoing treatment in JIPMER",https://indianexpress.com/article/india/hmpv-india-cases-puducherry-treatment-symptoms-9776030/,"January 13, 2025 1:30 pm",Positive 😊
"HMPV Virus Cases Live Updates: Gujarat sees two HMPV cases in a day, city cases rise to five",https://indianexpress.com/article/india/hmpv-virus-cases-live-updates-9770948/,"January 11, 2025 8:54 pm",Neutral 😐
Protecting yourself from HMPV: How to choose the right mask for maximum safety,https://indianexpress.com/article/lifestyle/health/protecting-yourself-from-hmpv-choose-the-right-mask-for-maximum-safety-9768689/,"January 09, 2025 2:00 pm",Positive 😊
"HMPV cases: Why some people are at higher risk of severe infection, ways to protect them",https://indianexpress.com/article/lifestyle/health/higher-risk-hmpv-symptoms-how-to-protect-9766726/,"January 20, 2025 7:38 pm",Negative 😞
"Two suspected HMPV cases  in Nagpur, one in Mumbai",https://indianexpress.com/article/cities/mumbai/two-suspected-hmpv-cases-in-nagpur-one-in-mumbai-9765809/,"January 08, 2025 2:51 am",Negative 😞
"HMPV Cases: Understanding isolation guidelines, contagious period, and precautions to prevent spread",https://indianexpress.com/article/lifestyle/health/hmpv-cases-isolation-guidelines-contagious-period-precautions-9764420/,"January 07, 2025 5:00 pm",Negative 😞
HMPV Virus Cases Live Updates: 80-year-old man in Gujarat tests positive for HMPV,https://indianexpress.com/article/india/hmpv-virus-cases-live-updates-health-9764231/,"January 10, 2025 11:37 am",Positive 😊
HMPV cases: No surge in respiratory illnesses but states asked to step up vigil,https://indianexpress.com/article/india/hmpv-cases-no-surge-respiratory-illnesses-states-to-step-up-vigil-9764058/,"January 07, 2025 3:27 pm",Negative 😞
